stock,Onay,Hisse Adı,Sektör,id,Halka Arz Tarihi,İlk İşlem Tarihi
METRO,Katılım Endeksine Uygun Değildir,Metro Tic. Mali Yat.,Holdingler,46536001,,1998-03-12
MGROS,Katılım Endeksine Uygun Değildir,Migros,Perakande - Ticaret,6495192,1991-02-27,
MHRGY,Katılım Endeksine Uygun Değildir,Mhr GYO,GYO,160307304,2023-10-18,2023-10-18
MIATK,Katılım Endeksine Uygun Değildir,Mia Teknoloji,Teknoloji,129445194,2021-11-16,2021-11-22
MMCAS,Katılım Endeksine Uygun Değildir,MMC San.ve Tic. Yatırımlar A.Ş,Holdingler,64308362,2011-12-02,2011-12-05
MNDRS,Katılım Endeksine Uygundur,Menderes Tekstil,Tekstil Entegre,64303961,2000-07-20,
MNDTR,Katılım Endeksine Uygundur,Mondi Tire,Kağıt Ürünleri,64303272,1991-02-01,1991-02-01
MOBTL,Katılım Endeksine Uygundur,Mobitel İletişim,İletişim,149592884,2021-11-19,2021-11-25
MOGAN,Katılım Endeksine Uygun Değildir,Mogan Enerji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,166374319,2024-03-07,
MOPAS,Katılım Endeksine Uygun Değildir,Mopaş,Perakande - Ticaret,181441068,2025-01-29,
MPARK,Katılım Endeksine Uygundur,MLP Sağlık Hizmetleri,Sağlık ve İlaç,42529058,2018-02-06,
MRGYO,Katılım Endeksine Uygun Değildir,Martı GYO,GYO,64307870,2010-09-24,2010-09-24
MRSHL,Katılım Endeksine Uygun Değildir,Marshall,Boya,64303183,1990-10-17,1990-11-07
MSGYO,Katılım Endeksine Uygun Değildir,Mistral GYO,GYO,120973827,2017-01-12,2017-01-19
MTRKS,Katılım Endeksine Uygun Değildir,Matriks Bilgi Dağıtım,Teknoloji,121299606,2021-03-31,2021-04-06
MTRYO,Katılım Endeksine Uygun Değildir,Metro YO,Yatırım Ortaklıkları,64304003,1999-01-12,1999-01-12
MZHLD,Katılım Endeksine Uygun Değildir,Mazhar Zorlu Holding,İnşaat Malzemeleri,64303184,1997-09-17,
NATEN,Katılım Endeksine Uygun Değildir,Naturel Yenilenebilir Enerji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,120975940,2019-08-01,2019-08-08
NETAS,Katılım Endeksine Uygundur,Netaş,İletişim Cihazları,64303203,1993-03-03,
NIBAS,Katılım Endeksine Uygun Değildir,Niğde Beton Sanayi,Çimento,64308445,2012-02-27,2012-03-05
NTGAZ,Katılım Endeksine Uygundur,Naturel Gaz,Petrol,121299604,2021-03-28,2021-04-01
NTHOL,Katılım Endeksine Uygun Değildir,Net Holding,Holdingler,6494577,1989-10-05,1989-10-05
NUGYO,Katılım Endeksine Uygun Değildir,Nurol GYO,GYO,64303206,1999-12-09,1999-12-15
NUHCM,Katılım Endeksine Uygun Değildir,Nuh Çimento,Çimento,64303204,2000-02-17,2000-02-11
OBAMS,Katılım Endeksine Uygundur,Oba Makarnacılık,Gıda,166151911,,2024-03-01
OBASE,Katılım Endeksine Uygundur,Obase Bilgisayar Danışmanlık,Teknoloji,141526832,2022-08-03,
ODAS,Katılım Endeksine Uygun Değildir,Odaş Elektrik Üretim,Elektrik Üretim,13276438,2013-05-14,2013-05-21
ODINE,Katılım Endeksine Uygun Değildir,Odine Solutions,Teknoloji,130269478,2024-03-24,
OFSYM,Katılım Endeksine Uygundur,Ofis Yem,Gıda,139195255,2023-08-11,2023-08-16
ONCSM,Katılım Endeksine Uygundur,Oncosem,Sağlık ve İlaç,148814694,2022-12-29,
ONRYT,Katılım Endeksine Uygun Değildir,Onur Yüksek Teknoloji,Savunma,170285274,2024-05-28,
ORCAY,Katılım Endeksine Uygun Değildir,Ortaköy Çay Sanayi,Meşrubat / İçecek,126415366,2021-08-27,2021-09-02
ORGE,Katılım Endeksine Uygundur,ORGE Enerji Elektrik,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,10605019,2012-05-08,
ORMA,Katılım Endeksine Uygun Değildir,Orma Orman Mahsulleri,Kağıt Ürünleri,120969851,,2012-10-23
OSMEN,Katılım Endeksine Uygun Değildir,Osmanlı Menkul Değ.,Aracı Kurumlar,64308526,2012-02-14,2012-02-14
OSTIM,Katılım Endeksine Uygundur,Ostim Endüst. Yatırımlar,Diğer,120969686,,2012-05-10
OTKAR,Katılım Endeksine Uygun Değildir,Otokar,Otomotiv,34515216,1995-04-13,
OTTO,Katılım Endeksine Uygun Değildir,Otto Holding,Gıda,64308796,2013-05-20,2013-05-20
OYAKC,Katılım Endeksine Uygun Değildir,Oyak Çimento,Çimento,6494497,1987-07-17,
OYAYO,Katılım Endeksine Uygun Değildir,Oyak Yatırım Ortaklığı,Yatırım Ortaklıkları,64306239,2007-04-27,2007-05-04
OYLUM,Katılım Endeksine Uygun Değildir,Oylum Sınai Yatırımlar,Gıda,64308430,2012-04-26,2012-05-04
OYYAT,Katılım Endeksine Uygun Değildir,Oyak Yatırım,Aracı Kurumlar,124598720,2021-06-04,2023-10-02
OZATD,Katılım Endeksine Uygun Değildir,Özata Denizcilik,Endüstriyel Makine -Teçhizat Üretim,174842243,,2024-08-29
OZGYO,Katılım Endeksine Uygun Değildir,Özderici GYO,GYO,64303209,1994-09-07,1995-08-21
OZKGY,Katılım Endeksine Uygun Değildir,Özak GYO,GYO,64308408,2012-02-10,2012-02-15
OZRDN,Katılım Endeksine Uygundur,Özerden Plastik,Kimyasal Ürün,64309401,2015-02-13,2015-02-18
OZSUB,Katılım Endeksine Uygun Değildir,Özsu Balık,Hayvancılık,147680266,2022-11-23,
OZYSR,Katılım Endeksine Uygundur,Özyaşar Tel,Demir-Çelik Temel,170351885,,2024-05-29
PAGYO,Katılım Endeksine Uygundur,Panora GYO,GYO,124221589,2013-05-17,2013-05-23
PAMEL,Katılım Endeksine Uygun Değildir,Pamel Yenilenebilir Elekt.,Elektrik Üretim,64309150,2014-06-09,2014-06-13
PAPIL,Katılım Endeksine Uygun Değildir,Papilon Savunma,Teknoloji,23377703,2019-11-29,
PARSN,Katılım Endeksine Uygundur,Parsan,Otomotiv Parçası,64303050,1990-10-16,1990-10-16
PASEU,Katılım Endeksine Uygundur,Pasifik Eurasia,Ulaştırma-Lojistik,155369397,2023-06-14,2023-06-14
PATEK,Katılım Endeksine Uygun Değildir,Pasifik Teknoloji,Teknoloji,165337623,2024-02-13,
PCILT,Katılım Endeksine Uygun Değildir,PC İletişim ve Medya,Medya,129712712,2021-11-25,
PEKGY,Katılım Endeksine Uygun Değildir,Peker GYO,GYO,64310622,2018-02-16,2018-02-21
PENGD,Katılım Endeksine Uygundur,Penguen Gıda,Gıda,64303210,1998-04-16,1998-04-22
PENTA,Katılım Endeksine Uygundur,Penta Teknoloji,Bilgisayar Toptancılığı,122799054,2021-05-07,
PETKM,Katılım Endeksine Uygundur,Petkim,Petrol,6494287,1990-07-09,1990-07-09
PETUN,Katılım Endeksine Uygundur,Pınar Et ve Un,Gıda,6495544,2000-08-11,1986-02-03
PGSUS,Katılım Endeksine Uygun Değildir,Pegasus Hava Taşımacılığı,Havayolları ve Hizm.,13100914,2013-04-19,
PINSU,Katılım Endeksine Uygun Değildir,Pınar Su,Meşrubat / İçecek,64303261,1987-08-28,1987-08-28
PKART,Katılım Endeksine Uygundur,Plastikkart A.Ş,Teknoloji,64304827,2004-08-11,2004-08-11
PKENT,Katılım Endeksine Uygun Değildir,Petrokent,Turizm,64303211,1991-09-10,1991-09-10
PLTUR,Katılım Endeksine Uygundur,Platform Turizm,Ulaştırma-Lojistik,147859945,2022-12-09,2022-12-14
PNLSN,Katılım Endeksine Uygundur,Panelsan Çatı Cephe,İnşaat Malzemeleri,132629364,2022-02-11,2022-02-18
PNSUT,Katılım Endeksine Uygun Değildir,Pınar Süt,Meşrubat / İçecek,6495545,1986-02-03,1986-02-03
POLHO,Katılım Endeksine Uygundur,Polisan Holding,Holdingler,10667384,,2012-05-24
POLTK,Katılım Endeksine Uygun Değildir,Politeknik Metal,Kimyasal Ürün,64309086,,2014-03-06
PRDGS,Katılım Endeksine Uygun Değildir,Pardus Girişim,Yatırım Ortaklıkları,139456596,2022-06-15,2022-06-15
PRKAB,Katılım Endeksine Uygun Değildir,Prysmian Kablo,Kablo,64303262,1986-01-17,
PRKME,Katılım Endeksine Uygun Değildir,Park Elek. Madencilik,Madencilik,145651542,1997-10-14,1997-10-04
PRZMA,Katılım Endeksine Uygun Değildir,Prizma Pres Matbaacılık,Kağıt Ürünleri,64308453,2012-05-10,
PSDTC,Katılım Endeksine Uygun Değildir,Pergamon Status,Perakande - Ticaret,120972206,2014-11-07,2014-11-12
PSGYO,Katılım Endeksine Uygun Değildir,Pasifik GYO,GYO,130784066,2021-12-10,2021-12-16
QNBFK,Katılım Endeksine Uygun Değildir,QNB Finans Fin. Kir.,Fin.Kiralama ve Faktoring,179981866,1993-11-05,
QNBTR,Katılım Endeksine Uygun Değildir,QNB Bank,Bankacılık,64303000,2018-11-02,
QUAGR,Katılım Endeksine Uygundur,QUA Granite,İnşaat Malzemeleri,121357148,2021-04-06,2021-04-09
RALYH,Katılım Endeksine Uygun Değildir,Ral Yatırım Holding,Tekstil Entegre,64303315,1996-10-17,1996-10-30
RAYSG,Katılım Endeksine Uygun Değildir,Ray Sigorta,Sigorta,64303263,1997-07-17,1997-07-24
REEDR,Katılım Endeksine Uygun Değildir,Reeder,İletişim Cihazları,159194896,2023-09-21,2023-09-21
RGYAS,Katılım Endeksine Uygundur,Rönesans Gayrimenkul,GYO,168394836,2024-04-26,
RNPOL,Katılım Endeksine Uygundur,Rainbow Polikarbonat,Kimyasal Ürün,130481537,2021-12-01,2021-12-06
RODRG,Katılım Endeksine Uygundur,Rodrigo Tekstil,Tekstil Entegre,64308898,2013-07-30,2013-08-13
ROYAL,Katılım Endeksine Uygun Değildir,Royal Halı,Tekstil Entegre,64308765,,2013-05-03
RTALB,Katılım Endeksine Uygun Değildir,RTA laboratuvarlari,Sağlık ve İlaç,64309142,2014-05-27,
RUBNS,Katılım Endeksine Uygundur,Rubenis Tekstil,Tekstil Entegre,140490209,2022-07-06,2022-07-06
RUZYE,Katılım Endeksine Uygun Değildir,Ruzy Madencilik ve Enerji,Madencilik,64303677,2000-05-17,
RYGYO,Katılım Endeksine Uygun Değildir,Reysaş GYO,GYO,64307877,2010-07-12,2010-07-12
RYSAS,Katılım Endeksine Uygun Değildir,Reysaş Taşımacılık,Ulaştırma-Lojistik,64305197,2006-02-02,2006-02-10
SAFKR,Katılım Endeksine Uygundur,Safkar Ege Soğutmacılık,Dayanıklı Tüketim,120974593,2018-01-11,2018-01-16
SAHOL,Katılım Endeksine Uygun Değildir,Sabancı Holding,Holdingler,6494478,1997-07-02,1997-07-08
SAMAT,Katılım Endeksine Uygundur,Saray Matbaacılık,Kağıt Ürünleri,64308281,2011-06-17,2011-06-24
SANEL,Katılım Endeksine Uygundur,San-El Muhendislik,Endüstriyel Makine -Teçhizat Üretim,64308989,2013-11-25,2013-11-25
SANFM,Katılım Endeksine Uygun Değildir,Sanifoam Sünger Sanayi,Kimyasal Ürün,64308472,2012-04-12,2012-04-18
SANKO,Katılım Endeksine Uygundur,Sanko Pazarlama,Pazarlama,6495134,2000-09-28,2000-10-05
SARKY,Katılım Endeksine Uygundur,Sarkuysan,İnşaat Malzemeleri,64303049,,1986-01-01
SASA,Katılım Endeksine Uygun Değildir,Sasa Polyester Sanayi A.Ş.,Endüstriyel Tekstil,64303264,1996-11-01,1996-10-31
SAYAS,Katılım Endeksine Uygundur,Say Yenilenebilir Enerji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,64308830,2013-06-24,2013-06-28
SDTTR,Katılım Endeksine Uygun Değildir,SDT Uzay,Savunma,148622922,2022-12-29,
SEGMN,Katılım Endeksine Uygun Değildir,Seğmen Gıda,Gıda,171749417,,2024-06-23
SEGYO,Katılım Endeksine Uygun Değildir,Şeker GYO,GYO,138768413,2022-06-07,2022-06-07
SEKFK,Katılım Endeksine Uygun Değildir,Şeker Finansal Kiralama A.Ş,Fin.Kiralama ve Faktoring,64304830,2004-07-15,2004-07-21
SEKUR,Katılım Endeksine Uygundur,Sekuro Plastik,Kimyasal Ürün,62745803,2013-10-02,2013-10-07
SELEC,Katılım Endeksine Uygundur,Selçuk Ecza Deposu,Sağlık ve İlaç,6498791,2006-04-21,
SELVA,Katılım Endeksine Uygundur,Selva Gıda,Gıda,124598722,2021-06-18,
SERNT,Katılım Endeksine Uygun Değildir,Seranit Granit,İnşaat Malzemeleri,181989829,2025-02-04,
SEYKM,Katılım Endeksine Uygun Değildir,Seyitler Kimya,Kimyasal Ürün,64309615,2015-07-28,2020-05-08
SILVR,Katılım Endeksine Uygundur,Silverline,Endüstriyel Makine -Teçhizat Üretim,64305346,2006-06-19,2006-06-23
SISE,Katılım Endeksine Uygun Değildir,Şişecam,Cam,6491731,1986-01-13,1986-01-03
SKBNK,Katılım Endeksine Uygun Değildir,Şekerbank,Bankacılık,6494306,1997-04-03,1997-04-10
SKTAS,Katılım Endeksine Uygun Değildir,Söktaş,Tekstil Entegre,64303266,1995-03-23,1995-04-03
SKYLP,Katılım Endeksine Uygun Değildir,Skyalp Fin. Tek.ve Danışmanlık,Diğer,64308450,2012-05-30,
SKYMD,Katılım Endeksine Uygun Değildir,Şeker Yatırım,Aracı Kurumlar,162435210,2023-09-08,2023-11-21
SMART,Katılım Endeksine Uygundur,Smartiks Yazılım,Teknoloji,134953128,2019-05-09,2019-05-16
SMRTG,Katılım Endeksine Uygundur,Smart Güneş Enerjisi,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,134953128,2022-03-24,
SMRVA,Katılım Endeksine Uygun Değildir,Sümer Varlık Yönetim,Varlık Yönetim,180030706,2024-12-18,
SNGYO,Katılım Endeksine Uygundur,Sinpas GYO,GYO,64306319,2007-06-15,2007-06-22
SNICA,Katılım Endeksine Uygundur,Sanica Isı Sanayi,Dayanıklı Tüketim,146900594,2022-11-18,
SNKRN,Katılım Endeksine Uygun Değildir,Senkron Güvenlik,Teknoloji,64309410,2015-02-27,2015-03-04
SNPAM,Katılım Endeksine Uygun Değildir,Sönmez Pamuklu,Tekstil Entegre,64303268,1994-12-12,1994-12-26
SODSN,Katılım Endeksine Uygun Değildir,Sodaş Sodyum Sanayii,Kimyasal Ürün,120969699,,2012-05-31
SOKE,Katılım Endeksine Uygundur,Söke Değirmencilik,Gıda,64303313,2000-04-26,2000-04-26
SOKM,Katılım Endeksine Uygun Değildir,Şok Marketler,Perakande - Ticaret,44486722,2018-05-12,2018-05-18
SONME,Katılım Endeksine Uygun Değildir,Sönmez Filament,Tekstil Entegre,64303267,1991-09-23,1991-09-23
SRVGY,Katılım Endeksine Uygundur,Servet GYO,GYO,64308760,2013-04-18,2013-04-24
SUMAS,Katılım Endeksine Uygun Değildir,Sumas Mobilya,Mobilya,120974669,2018-01-01,
SUNTK,Katılım Endeksine Uygundur,Sun Tekstil,Tekstil Entegre,137604542,2022-05-20,2022-05-20
SURGY,Katılım Endeksine Uygundur,Sur GYO,GYO,162798611,,2023-12-14
SUWEN,Katılım Endeksine Uygundur,Suwen Tekstil,Tekstil Entegre,136638982,2022-04-21,
TABGD,Katılım Endeksine Uygun Değildir,Tab Gıda,Gıda,160626565,,2023-10-26
TARKM,Katılım Endeksine Uygundur,Tarkim,Tarım Kimyasalları,159005038,2023-09-06,2023-09-12
TATEN,Katılım Endeksine Uygun Değildir,Tatlıpınar Enerji,Elektrik Üretim,157824130,2023-08-17,2023-08-17
TATGD,Katılım Endeksine Uygun Değildir,Tat Gıda,Gıda,6495549,1993-07-28,
TAVHL,Katılım Endeksine Uygun Değildir,TAV Holding,Havayolları ve Hizm.,6499546,2007-02-16,
TBORG,Katılım Endeksine Uygun Değildir,Tuborg,Meşrubat / İçecek,64303278,1989-09-08,1989-11-29
TCELL,Katılım Endeksine Uygun Değildir,Turkcell,İletişim,6492797,2000-07-03,2000-07-11
TCKRC,Katılım Endeksine Uygun Değildir,Kıraç Galvaniz,Diğer,174106474,2024-08-15,
TDGYO,Katılım Endeksine Uygundur,Trend GYO,GYO,64310392,2018-02-16,2018-02-23
TEHOL,Katılım Endeksine Uygun Değildir,Tera Holding,Holdingler,64304012,,1992-10-10
TEKTU,Katılım Endeksine Uygun Değildir,Tek-Art Turizm,Turizm,64304015,2000-08-03,2000-08-10
TERA,Katılım Endeksine Uygun Değildir,Tera Yatırım,Aracı Kurumlar,61871287,2022-12-16,2022-12-22
TEZOL,Katılım Endeksine Uygundur,Europap Tezol,Kağıt Ürünleri,126742228,2021-09-10,2021-09-15
TGSAS,Katılım Endeksine Uygun Değildir,TGS Dış Ticaret,Pazarlama,64308462,2012-05-31,
THYAO,Katılım Endeksine Uygun Değildir,Türk Hava Yolları,Havayolları ve Hizm.,6495582,1990-12-20,
TKFEN,Katılım Endeksine Uygun Değildir,Tekfen Holding,İnşaat- Taahhüt,6499944,2007-11-16,2007-11-23
TKNSA,Katılım Endeksine Uygundur,Teknosa İç ve Dış Tic.,Perakande - Ticaret,10618082,2012-05-11,2012-05-17
TLMAN,Katılım Endeksine Uygun Değildir,Trabzon Liman İşletmeciliği,Ulaştırma-Lojistik,120974586,2018-01-19,2018-01-24
TMPOL,Katılım Endeksine Uygun Değildir,TE-MAPOL Polimer Plastik,Kimyasal Ürün,30353076,2013-12-09,
TMSN,Katılım Endeksine Uygundur,Tümosan Motor ve Traktör,Otomotiv,12111976,2012-11-30,2012-12-05
TNZTP,Katılım Endeksine Uygundur,Tapdi Oksijen,Sağlık ve İlaç,148878427,2023-01-06,
TOASO,Katılım Endeksine Uygun Değildir,Tofaş Fabrika,Otomotiv,6491727,1991-07-01,1991-07-01
TRCAS,Katılım Endeksine Uygun Değildir,Turcas Holding,Petrol,6494535,1992-06-04,
TRGYO,Katılım Endeksine Uygun Değildir,Torunlar GYO,GYO,8569750,2010-10-15,2010-10-21
TRHOL,Katılım Endeksine Uygun Değildir,Tera Finansal Yat. Holding,Holdingler,64303963,1994-08-18,
TRILC,Katılım Endeksine Uygun Değildir,Turk İlaç ve Serum Sanayi,Sağlık ve İlaç,120976967,2021-03-05,
TSGYO,Katılım Endeksine Uygun Değildir,TSKB GYO,GYO,64307799,2010-04-02,2010-04-09
TSKB,Katılım Endeksine Uygun Değildir,TSKB,Bankacılık,6493650,1986-04-10,1986-12-26
TSPOR,Katılım Endeksine Uygun Değildir,Trabzonspor A.Ş,Spor,64304816,2005-04-10,2005-04-10
TTKOM,Katılım Endeksine Uygun Değildir,Türk Telekom,İletişim,6500204,2008-05-09,2008-05-15
TTRAK,Katılım Endeksine Uygun Değildir,Türk Traktör,Otomotiv,6497303,2004-06-03,2004-06-04
TUCLK,Katılım Endeksine Uygundur,Tuğçelik Alüminyum ve Metal,Otomotiv Parçası,64309147,2014-06-12,2014-06-16
TUKAS,Katılım Endeksine Uygundur,Tukaş,Gıda,64303011,1994-11-22,
TUPRS,Katılım Endeksine Uygundur,Tüpraş,Petrol,6493639,1991-05-30,
TUREX,Katılım Endeksine Uygundur,Tureks Tur.Taşımacılık,Ulaştırma-Lojistik,121299605,2021-04-02,
TURGG,Katılım Endeksine Uygun Değildir,Türker Proje Gay.Gel.,GYO,120970374,2013-07-22,2013-07-24
TURSG,Katılım Endeksine Uygun Değildir,Türkiye Sigorta,Sigorta,120961744,1994-11-14,1995-01-25
UFUK,Katılım Endeksine Uygun Değildir,Ufuk Yat.Yön.ve Gay. AŞ.,Fin.Kiralama ve Faktoring,64303701,,2006-11-09
ULAS,Katılım Endeksine Uygundur,Ulaşlar Turizm Yatırımları,Turizm,120969744,2012-07-30,2012-08-06
ULKER,Katılım Endeksine Uygun Değildir,Ülker Bisküvi,Gıda,6497298,1996-10-14,2004-02-23
ULUFA,Katılım Endeksine Uygun Değildir,Ulusal Faktoring,Fin.Kiralama ve Faktoring,128847086,2021-11-05,
ULUSE,Katılım Endeksine Uygundur,Ulusoy Elektrik,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,120972215,2014-11-13,
ULUUN,Katılım Endeksine Uygun Değildir,Ulusoy Un,Gıda,120972214,2014-11-14,2014-11-20
UMPAS,Katılım Endeksine Uygun Değildir,Umpaş Holding,Holdingler,120972184,2014-12-18,2014-12-18
UNLU,Katılım Endeksine Uygun Değildir,Ünlü Yatırım Holding,Aracı Kurumlar,124598721,2022-06-01,
USAK,Katılım Endeksine Uygundur,Uşak Seramik,Seramik,9938392,1990-11-28,1990-11-30
VAKBN,Katılım Endeksine Uygun Değildir,Vakıfbank,Bankacılık,6498365,,2005-11-18
VAKFN,Katılım Endeksine Uygun Değildir,Vakıf Fin. Kir.,Fin.Kiralama ve Faktoring,64303279,1991-04-24,1991-04-24
VAKKO,Katılım Endeksine Uygundur,Vakko Tekstil,Perakande - Ticaret,64303281,1998-03-30,1998-04-03
VANGD,Katılım Endeksine Uygundur,Vanet Gıda Sanayi,Gıda,64308283,,2011-08-18
VBTYZ,Katılım Endeksine Uygun Değildir,VBT Yazılım,Teknoloji,125137949,2021-07-06,
VERTU,Katılım Endeksine Uygun Değildir,Verusatürk Girişim Sermayesi,Yatırım Ortaklıkları,64309580,2015-11-12,2015-11-17
VERUS,Katılım Endeksine Uygun Değildir,Verusa Holding,Holdingler,118906960,2013-11-12,
VESBE,Katılım Endeksine Uygundur,Vestel Beyaz Esya,Dayanıklı Tüketim,6498792,2006-04-12,2006-04-21
VESTL,Katılım Endeksine Uygun Değildir,Vestel Elektronik,Dayanıklı Tüketim,6491732,1990-06-27,1990-06-27
VKFYO,Katılım Endeksine Uygun Değildir,Vakıf YO,Yatırım Ortaklıkları,64303691,1991-08-23,1991-06-20
VKGYO,Katılım Endeksine Uygun Değildir,Vakıf GYO,GYO,64303280,1996-12-24,1996-12-26
VKING,Katılım Endeksine Uygun Değildir,Viking Kağıt,Kağıt Ürünleri,8199172,1994-10-13,1994-10-24
VRGYO,Katılım Endeksine Uygundur,Vera GYO,GYO,160626564,2023-10-20,2023-10-27
VSNMD,Katılım Endeksine Uygun Değildir,Vişne Madencilik,Madencilik,182127535,,2025-02-11
YAPRK,Katılım Endeksine Uygun Değildir,Yaprak Süt & Besi Çiftlikleri,Gıda,120964720,,2011-05-13
YATAS,Katılım Endeksine Uygundur,Yataş Yatak,Mobilya,9938398,1996-08-08,1996-08-19
YAYLA,Katılım Endeksine Uygun Değildir,Yayla Enerji Uretim Turizm,Elektrik Üretim,137697464,2013-11-14,2015-07-10
YBTAS,Katılım Endeksine Uygun Değildir,Yibitaş İnş. Malzemeleri,İnşaat Malzemeleri,120969754,,2012-08-09
YEOTK,Katılım Endeksine Uygundur,YEO Teknoloji,İnşaat- Taahhüt,126415367,2021-08-31,2021-09-03
YESIL,Katılım Endeksine Uygun Değildir,Yeşil Yatırım Holding,Holdingler,64304496,2004-03-02,
YGGYO,Katılım Endeksine Uygun Değildir,Yeni Gimat GYO,GYO,64308911,,2013-08-16
YGYO,Katılım Endeksine Uygun Değildir,Yeşil GYO,GYO,64303360,,1997-12-23
YIGIT,Katılım Endeksine Uygun Değildir,Yiğit Akü,Otomotiv Parçası,170587780,2024-06-06,
YKBNK,Katılım Endeksine Uygun Değildir,Yapı Kredi Bankası,Bankacılık,6491733,1987-05-28,1987-05-28
YKSLN,Katılım Endeksine Uygun Değildir,Yükselen Çelik,Demir-Çelik Temel,120976162,2019-11-14,
YONGA,Katılım Endeksine Uygun Değildir,Yonga Mobilya Sanayi,Mobilya,120969741,2012-07-19,2012-07-19
YUNSA,Katılım Endeksine Uygundur,Yünsa,Tekstil Entegre,64303650,1990-04-06,1990-04-06
YYAPI,Katılım Endeksine Uygun Değildir,Yesil Yapi,İnşaat- Taahhüt,64303316,2004-03-02,
YYLGD,Katılım Endeksine Uygun Değildir,Yayla Agro Gıda,Gıda,137697464,2022-05-20,2022-05-20
ZEDUR,Katılım Endeksine Uygundur,Zedur Enerji,Elektrik Üretim,120964683,,2010-11-05
ZOREN,Katılım Endeksine Uygun Değildir,Zorlu Enerji,Elektrik Üretim,6494311,2000-05-17,2022-11-14
ZRGYO,Katılım Endeksine Uygun Değildir,Ziraat GYO,GYO,122419127,2021-04-30,2021-05-06
